,OTU,.ID,group,Kingdom,Phylum,Class,Order,Family,Genus,Species,,,,
311,OTU,5325,1,Fungi,,,,,,,,,,
629,OTU,5328,1,Fungi,,,,,,,,,,
419,OTU,5373,1,Fungi,Zygomycota,Incertae,Kickxellales,Kickxellaceae,Ramicandelaber,Ramicandelaber,sp,SH006496.07FU,,
409,OTU,5397,1,Fungi,Zygomycota,Incertae,Kickxellales,Kickxellaceae,Ramicandelaber,Ramicandelaber,sp,SH006496.07FU,,
154,OTU,5545,1,Fungi,Zygomycota,Incertae,Kickxellales,Kickxellaceae,Ramicandelaber,Ramicandelaber,sp,SH006496.07FU,,
75,OTU,5559,1,Fungi,Zygomycota,Incertae,Kickxellales,Kickxellaceae,Ramicandelaber,Ramicandelaber,sp,SH006496.07FU,,
175,OTU,5611,1,Fungi,,,,,,,,,,
205,OTU,5632,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,pseudozygospora,SH208762.07FU,,
364,OTU,5689,1,Fungi,,,,,,,,,,
714,OTU,5986,1,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,Dothideomycetes,sp,SH475473.07FU,,
244,OTU,6012,1,Fungi,,,,,,,,,,
527,OTU,6123,1,Fungi,,,,,,,,,,
683,OTU,6154,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH029303.07FU,,
716,OTU,6163,1,Fungi,,,,,,,,,,
105,OTU,6184,1,Fungi,,,,,,,,,,
6,OTU,6202,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,Cryptococcus,Cryptococcus,aerius,SH190019.07FU,,
18,OTU,6221,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,Cryptococcus,Cryptococcus,aerius,SH190019.07FU,,
529,OTU,6448,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH463958.07FU,,
497,OTU,6458,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH029303.07FU,,
378,OTU,6494,1,Fungi,,,,,,,,,,
107,OTU,6561,1,Fungi,,,,,,,,,,
490,OTU,6660,1,Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Incertae,Operculomyces,Operculomyces,laminatus,SH210135.07FU,,
657,OTU,6663,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH481248.07FU,,
455,OTU,6708,1,Fungi,,,,,,,,,,
200,OTU,6757,1,Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Incertae,Operculomyces,Operculomyces,laminatus,SH210135.07FU,,
495,OTU,6770,1,Fungi,Basidiomycota,Ustilaginomycetes,Urocystidales,Urocystidaceae,Urocystis,Urocystis,fischeri,SH007549.07FU,,
557,OTU,6829,1,Fungi,,,,,,,,,,
365,OTU,6891,1,Fungi,,,,,,,,,,
741,OTU,6959,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH463958.07FU,,
514,OTU,7005,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,exigua,SH214063.07FU,,
46,OTU,7181,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,sp,SH180140.07FU,,
233,OTU,7262,1,Fungi,,,,,,,,,,
732,OTU,7274,1,Fungi,,,,,,,,,,
353,OTU,7481,1,Fungi,,,,,,,,,,
746,OTU,7490,1,Fungi,,,,,,,,,,
517,OTU,7494,1,Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Incertae,Operculomyces,Operculomyces,laminatus,SH210135.07FU,,
537,OTU,7510,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Niaceae,Lachnella,Lachnella,villosa,SH210503.07FU,,
607,OTU,7513,1,Fungi,,,,,,,,,,
610,OTU,7595,1,Fungi,,,,,,,,,,
436,OTU,7598,1,Fungi,,,,,,,,,,
465,OTU,7610,1,Fungi,,,,,,,,,,
728,OTU,7624,1,Fungi,,,,,,,,,,
675,OTU,7633,1,Fungi,,,,,,,,,,
362,OTU,7653,1,Fungi,,,,,,,,,,
550,OTU,7684,1,Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Incertae,Operculomyces,Operculomyces,laminatus,SH210135.07FU,,
243,OTU,7701,1,Fungi,,,,,,,,,,
189,OTU,7810,1,Fungi,,,,,,,,,,
174,OTU,7819,1,Fungi,Chytridiomycota,Chytridiomycetes,Olpidiales,Olpidiaceae,Olpidiaster,Olpidiaster,brassicae,SH194417.07FU,,
672,OTU,7840,1,Fungi,,,,,,,,,,
212,OTU,7861,1,Fungi,,,,,,,,,,
308,OTU,7866,1,Fungi,Chytridiomycota,Chytridiomycetes,Olpidiales,Olpidiaceae,Olpidiaster,Olpidiaster,brassicae,SH216672.07FU,,
725,OTU,7872,1,Fungi,,,,,,,,,,
227,OTU,7877,1,Fungi,,,,,,,,,,
664,OTU,7886,1,Fungi,,,,,,,,,,
53,OTU,7967,1,Fungi,,,,,,,,,,
442,OTU,7973,1,Fungi,Chytridiomycota,Chytridiomycetes,Olpidiales,Olpidiaceae,Olpidiaster,Olpidiaster,brassicae,SH216672.07FU,,
632,OTU,8003,1,Fungi,,,,,,,,,,
131,OTU,8081,1,Fungi,Chytridiomycota,Chytridiomycetes,Olpidiales,Olpidiaceae,Olpidiaster,Olpidiaster,brassicae,SH194417.07FU,,
178,OTU,8113,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,,,,,
384,OTU,8255,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,sp,SH180140.07FU,,
553,OTU,8277,1,Fungi,,,,,,,,,,
3,OTU,8281,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,,,,,
427,OTU,8288,1,Fungi,,,,,,,,,,
303,OTU,8301,1,Fungi,Chytridiomycota,Chytridiomycetes,Spizellomycetales,Spizellomycetaceae,Powellomyces,Powellomyces,hirtus,SH221975.07FU,,
522,OTU,8325,1,Fungi,,,,,,,,,,
659,OTU,8372,1,Fungi,,,,,,,,,,
599,OTU,8425,1,Fungi,,,,,,,,,,
577,OTU,8434,1,Fungi,Chytridiomycota,,,,,,,,,
347,OTU,8523,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,sp,SH180140.07FU,,
327,OTU,8556,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,sp,SH180140.07FU,,
560,OTU,8566,1,Fungi,,,,,,,,,,
676,OTU,8569,1,Fungi,,,,,,,,,,
747,OTU,8576,1,Fungi,,,,,,,,,,
