OTU,group,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU22067,1,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,,
OTU19733,1,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,,
OTU20244,1,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,,
OTU19989,1,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,,
OTU16440,1,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,
OTU16478,1,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,
OTU13459,1,Bacteria,Planctomycetes,vadinHA49,DH61,,,
OTU15337,1,Bacteria,Planctomycetes,vadinHA49,DH61,,,
OTU14763,1,Bacteria,Planctomycetes,vadinHA49,DH61,,,
OTU14729,1,Bacteria,Planctomycetes,vadinHA49,DH61,,,
OTU14923,1,Bacteria,Planctomycetes,vadinHA49,DH61,,,
OTU13237,1,Bacteria,Planctomycetes,,,,,
OTU30153,1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
OTU30944,1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
OTU30578,1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,
OTU27821,1,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,
OTU28614,1,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,
OTU30930,1,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,
OTU31781,1,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,
OTU30157,1,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,
OTU32936,1,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,
OTU32561,1,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,
OTU28355,1,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,
OTU31557,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
OTU29271,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
OTU30898,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
OTU31363,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
OTU30332,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,
OTU30380,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylosinus,
OTU30281,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella,
OTU33403,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,
OTU30555,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,
OTU30718,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU30179,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU31566,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU33245,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,,
OTU30155,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
OTU30217,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
OTU29034,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
OTU33140,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
OTU33306,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
OTU27964,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU30250,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU31036,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU26299,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU30149,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU30612,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU32531,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU27040,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU33011,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU30188,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU32841,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU31247,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU28662,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU31723,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU30386,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU26616,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU30695,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU31028,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU30341,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
OTU32644,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
OTU29038,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
OTU32595,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
OTU30518,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
OTU30478,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
OTU31043,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
OTU31926,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
OTU30365,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythromicrobium,ramosum
OTU30086,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,
OTU30118,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,
OTU33543,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,
OTU31012,1,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
OTU31769,1,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
OTU32526,1,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
OTU31812,1,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
OTU5475,1,Bacteria,Proteobacteria,Betaproteobacteria,A21b,EB1003,,
OTU3646,1,Bacteria,Proteobacteria,Betaproteobacteria,A21b,EB1003,,
OTU7504,1,Bacteria,Proteobacteria,Betaproteobacteria,A21b,EB1003,,
OTU4291,1,Bacteria,Proteobacteria,Betaproteobacteria,A21b,EB1003,,
OTU5712,1,Bacteria,Proteobacteria,Betaproteobacteria,A21b,UD5,,
OTU14952,1,Bacteria,Proteobacteria,Betaproteobacteria,A21b,UD5,,
OTU7467,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,bryophila
OTU6075,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,bryophila
OTU5633,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,glathei
OTU9569,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,glathei
OTU6109,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,
OTU5719,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paucibacter,
OTU6015,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rubrivivax,gelatinosus
OTU5825,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rubrivivax,
OTU12452,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU5862,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,
OTU6309,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,
OTU6069,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,
OTU6080,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,
OTU7689,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,,
OTU6875,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,,
OTU5259,1,Bacteria,Proteobacteria,Betaproteobacteria,Ellin6067,,,
OTU10522,1,Bacteria,Proteobacteria,Betaproteobacteria,Ellin6067,,,
OTU12028,1,Bacteria,Proteobacteria,Betaproteobacteria,Ellin6067,,,
OTU6355,1,Bacteria,Proteobacteria,Betaproteobacteria,Gallionellales,Gallionellaceae,Gallionella,
OTU11737,1,Bacteria,Proteobacteria,Betaproteobacteria,MND1,,,
OTU6632,1,Bacteria,Proteobacteria,Betaproteobacteria,MND1,,,
OTU12710,1,Bacteria,Proteobacteria,Betaproteobacteria,MND1,,,
OTU5561,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU5891,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU4060,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU5677,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU5689,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU6544,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU1942,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU11666,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU4780,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU6372,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU12039,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU8822,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU8646,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU8299,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU5702,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU11125,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU11679,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU2977,1,Bacteria,Proteobacteria,Betaproteobacteria,,,,
OTU707,1,Bacteria,Proteobacteria,Betaproteobacteria,,,,
OTU5531,1,Bacteria,Proteobacteria,Betaproteobacteria,,,,
OTU853,1,Bacteria,Proteobacteria,Betaproteobacteria,,,,
OTU3008,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
OTU1836,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
OTU2649,1,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,,
OTU1540,1,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,,
OTU6016,1,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
OTU30577,1,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
OTU23891,1,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
OTU23745,1,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
OTU4830,1,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
OTU2044,1,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
OTU24722,1,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
OTU776,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,
OTU504,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU3016,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU473,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU852,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU822,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU493,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU1256,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU1678,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU1093,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU836,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU2639,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU3559,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU1377,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
OTU2264,1,Bacteria,Proteobacteria,Deltaproteobacteria,FAC87,,,
OTU2182,1,Bacteria,Proteobacteria,Deltaproteobacteria,FAC87,,,
OTU1208,1,Bacteria,Proteobacteria,Deltaproteobacteria,FAC87,,,
OTU2705,1,Bacteria,Proteobacteria,Deltaproteobacteria,FAC87,,,
OTU2743,1,Bacteria,Proteobacteria,Deltaproteobacteria,FAC87,,,
OTU1501,1,Bacteria,Proteobacteria,Deltaproteobacteria,FAC87,,,
OTU846,1,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,,,
OTU1144,1,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,,,
OTU1744,1,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,,,
OTU1670,1,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,,,
OTU1300,1,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,,,
OTU2216,1,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,,,
OTU13607,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Cystobacter,
OTU13063,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,,
OTU13351,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
OTU14998,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
OTU15232,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
OTU16325,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
OTU19191,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
OTU27181,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,OM27,,
OTU13202,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,
OTU12955,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU6823,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU815,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU727,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU697,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU952,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU851,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU13474,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU1499,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU13021,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU1200,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU1666,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU13384,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU1653,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU934,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU13215,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU2093,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU1413,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU4487,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU1538,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU13861,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU3151,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU1437,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU1485,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU18300,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU4293,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU1643,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU15616,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU1380,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU13822,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU3006,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU14090,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU15168,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU1424,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU15545,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU5914,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU1000,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,MND4,,
OTU860,1,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,,,
OTU1367,1,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,,,
OTU1097,1,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,,,
OTU1500,1,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,,,
OTU1733,1,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,,,
OTU2018,1,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,,,
OTU2579,1,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,,,
OTU30255,1,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0853,JTB36,,
OTU768,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU524,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU69,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU788,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU930,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU1365,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU712,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU1913,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU2055,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU1897,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU843,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
OTU1152,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
OTU1663,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
OTU1452,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
OTU18737,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
OTU1435,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
OTU5316,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
OTU2760,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
OTU3210,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
OTU9679,1,Bacteria,Proteobacteria,Gammaproteobacteria,[Marinicellales],[Marinicellaceae],,
OTU6258,1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia,
OTU6288,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,
OTU13180,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,
OTU15208,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,
OTU7469,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,
OTU14377,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,
OTU6597,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU225,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU6877,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU6125,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU7943,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU102,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU2207,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU6685,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU6912,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU8163,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU11495,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU4680,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU12385,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU123,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU7085,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU7232,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU6212,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU6089,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU6720,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU6784,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU9419,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU1762,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU8366,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU7983,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU8877,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
OTU6795,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
OTU7796,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
OTU11373,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
OTU7038,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,,
OTU5302,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,,
OTU10148,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,,
OTU10603,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,,
OTU7684,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,,
OTU7823,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,
OTU8076,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,
OTU374,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,
OTU7477,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,
OTU7818,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,
OTU2233,1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,johnsonii
OTU5279,1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
OTU9407,1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter,
OTU7791,1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter,
OTU7027,1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter,
OTU7322,1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
