,OTU,#,counts total,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species
1304,OTU,34,33,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
1509,OTU,37,18,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
2098,OTU,41,6,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,C114,,,
568,OTU,43,187,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
745,OTU,54,89,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
2077,OTU,57,13,1,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,,,
490,OTU,90,289,1,Bacteria,Acidobacteria,S035,,,,
1103,OTU,93,90,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
246,OTU,98,248,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
84,OTU,113,6135,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
311,OTU,138,778,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
393,OTU,146,252,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
2155,OTU,159,13,1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,C114,,,
521,OTU,162,227,1,Bacteria,Acidobacteria,S035,,,,
27,OTU,165,3522,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1006,OTU,171,62,1,Bacteria,WS3,PRR-12,wb1,,,
768,OTU,175,99,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
727,OTU,177,77,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
870,OTU,180,190,1,Bacteria,Acidobacteria,S035,,,,
1835,OTU,182,18,1,Bacteria,Acidobacteria,S035,,,,
362,OTU,184,278,1,Bacteria,Gemmatimonadetes,Gemm-5,,,,
1493,OTU,188,39,1,Bacteria,Gemmatimonadetes,Gemm-5,,,,
797,OTU,191,47,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
881,OTU,192,105,1,Bacteria,WS3,PRR-12,wb1,,,
184,OTU,194,779,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
599,OTU,198,98,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
1298,OTU,204,53,1,Bacteria,Acidobacteria,S035,,,,
347,OTU,219,501,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
139,OTU,220,1801,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
590,OTU,221,139,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
962,OTU,222,58,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1151,OTU,225,142,1,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
223,OTU,231,481,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
53,OTU,233,2854,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1839,OTU,246,16,1,Bacteria,Acidobacteria,S035,,,,
1827,OTU,255,22,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
286,OTU,270,932,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
547,OTU,272,319,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
127,OTU,276,1170,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
12,OTU,280,1800,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
169,OTU,281,927,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1980,OTU,282,19,1,Bacteria,Gemmatimonadetes,Gemm-5,,,,
108,OTU,286,620,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
54,OTU,291,1454,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
218,OTU,293,259,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1462,OTU,294,48,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
143,OTU,309,783,1,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,
567,OTU,318,188,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
250,OTU,321,446,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1630,OTU,324,20,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
2111,OTU,334,8,1,Bacteria,Acidobacteria,S035,,,,
903,OTU,339,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
675,OTU,343,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1239,OTU,349,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1265,OTU,358,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
2135,OTU,362,,1,Bacteria,Acidobacteria,Sva0725,Sva0725,,,
1290,OTU,383,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
2248,OTU,384,,1,Bacteria,Gemmatimonadetes,Gemm-5,,,,
1806,OTU,387,,1,Bacteria,Acidobacteria,S035,,,,
167,OTU,400,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
580,OTU,409,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1409,OTU,415,,1,Bacteria,WS3,PRR-12,Sediment-1,PRR-10,,
473,OTU,444,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
65,OTU,456,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
119,OTU,472,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
892,OTU,474,,1,Bacteria,,,,,,
357,OTU,491,,1,Bacteria,WS3,PRR-12,LD1-PA13,,,
71,OTU,492,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
435,OTU,500,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1929,OTU,545,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
2127,OTU,546,,1,Bacteria,Acidobacteria,RB25,,,,
1141,OTU,553,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
451,OTU,554,,1,Bacteria,Acidobacteria,iii1-8,32-20,,,
1010,OTU,557,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
927,OTU,565,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1565,OTU,577,,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
501,OTU,600,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
508,OTU,601,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
210,OTU,603,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
395,OTU,616,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
840,OTU,617,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1117,OTU,622,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1911,OTU,625,,1,Bacteria,Gemmatimonadetes,Gemm-3,,,,
983,OTU,628,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
2199,OTU,630,,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
635,OTU,640,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
544,OTU,647,,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
276,OTU,648,,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
379,OTU,649,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1589,OTU,655,,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
79,OTU,657,,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
138,OTU,660,,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
688,OTU,661,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
284,OTU,662,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
489,OTU,664,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
494,OTU,667,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
467,OTU,669,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
402,OTU,672,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
325,OTU,674,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
871,OTU,675,,1,Bacteria,Gemmatimonadetes,,,,,
600,OTU,676,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,
258,OTU,682,,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
230,OTU,683,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
757,OTU,685,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
691,OTU,686,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
441,OTU,687,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
313,OTU,690,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
949,OTU,691,,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,,,
776,OTU,694,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
748,OTU,695,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
559,OTU,696,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
377,OTU,701,,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,NB1-i,,
725,OTU,703,,1,Bacteria,Gemmatimonadetes,Gemm-5,,,,
713,OTU,706,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
1159,OTU,709,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Anaeromyxobacter,
161,OTU,713,,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
638,OTU,715,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
386,OTU,716,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
249,OTU,717,,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,NB1-i,,
655,OTU,718,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
499,OTU,719,,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,,,
555,OTU,722,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1634,OTU,724,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
1325,OTU,726,,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
608,OTU,728,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
574,OTU,730,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
400,OTU,731,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
1190,OTU,732,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1154,OTU,733,,1,Bacteria,WS3,PRR-12,LD1-PA13,,,
1028,OTU,734,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
593,OTU,736,,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
1830,OTU,737,,1,Bacteria,Acidobacteria,,,,,
1391,OTU,742,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
516,OTU,743,,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
1093,OTU,745,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
389,OTU,747,,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
746,OTU,752,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
2010,OTU,756,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
875,OTU,757,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1316,OTU,762,,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
853,OTU,765,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
530,OTU,766,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1049,OTU,767,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
780,OTU,770,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
1108,OTU,773,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1721,OTU,774,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,,,
763,OTU,775,,1,Bacteria,WS3,PRR-12,LD1-PA13,,,
575,OTU,777,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
212,OTU,788,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
679,OTU,789,,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,MND4,,
1150,OTU,791,,1,Bacteria,Acidobacteria,,,,,
994,OTU,794,,1,Bacteria,Acidobacteria,Acidobacteria-6,BPC015,,,
848,OTU,796,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
1084,OTU,797,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
1253,OTU,799,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,,,
694,OTU,800,,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,,,
752,OTU,804,,1,Bacteria,Acidobacteria,RB25,,,,
1626,OTU,813,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1317,OTU,816,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
1210,OTU,818,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1113,OTU,820,,1,Bacteria,Gemmatimonadetes,Gemm-5,,,,
643,OTU,825,,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,,,
739,OTU,826,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,
905,OTU,828,,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
1106,OTU,831,,1,Bacteria,Acidobacteria,Sva0725,Sva0725,,,
885,OTU,832,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
173,OTU,837,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1036,OTU,845,,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
731,OTU,847,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
861,OTU,848,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
1612,OTU,854,,1,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
620,OTU,862,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1261,OTU,868,,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
1301,OTU,869,,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,,,
1440,OTU,873,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
945,OTU,874,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
732,OTU,876,,1,Bacteria,Gemmatimonadetes,Gemm-5,,,,
734,OTU,880,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1149,OTU,885,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1607,OTU,886,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1338,OTU,888,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
1225,OTU,894,,1,Bacteria,Acidobacteria,iii1-8,32-20,,,
1646,OTU,906,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
907,OTU,914,,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
884,OTU,916,,1,Bacteria,Gemmatimonadetes,Gemm-2,,,,
1682,OTU,919,,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
1223,OTU,923,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1499,OTU,924,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
859,OTU,928,,1,Bacteria,Gemmatimonadetes,Gemm-3,,,,
1527,OTU,932,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
1387,OTU,937,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
851,OTU,939,,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
2222,OTU,943,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
2086,OTU,944,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
1689,OTU,953,,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
1737,OTU,954,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1840,OTU,957,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
2125,OTU,959,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1546,OTU,964,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
1918,OTU,965,,1,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,
428,OTU,970,,1,Bacteria,Proteobacteria,Betaproteobacteria,MND1,,,
1901,OTU,971,,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
1436,OTU,972,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
681,OTU,974,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1468,OTU,982,,1,Bacteria,Planctomycetes,OM190,,,,
1075,OTU,983,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1619,OTU,985,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
808,OTU,988,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
1069,OTU,1007,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
1381,OTU,1014,,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
801,OTU,1016,,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,,,
803,OTU,1017,,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
810,OTU,1020,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
452,OTU,1022,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
2284,OTU,1024,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1744,OTU,1028,,1,Bacteria,WS3,PRR-12,Sediment-1,PRR-10,,
1822,OTU,1029,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
1198,OTU,1030,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1720,OTU,1039,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
673,OTU,1048,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1926,OTU,1054,,1,Bacteria,Acidobacteria,,,,,
2123,OTU,1059,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1761,OTU,1063,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
829,OTU,1077,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
1770,OTU,1083,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
584,OTU,1089,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
1581,OTU,1093,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
1970,OTU,1119,,1,Bacteria,WS3,PRR-12,Sediment-1,PRR-10,,
1293,OTU,1126,,1,Bacteria,Planctomycetes,Pla3,,,,
1336,OTU,1129,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
576,OTU,1131,,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
1201,OTU,1132,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
985,OTU,1142,,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,,,
1861,OTU,1148,,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,,,
1673,OTU,1158,,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
792,OTU,1167,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1489,OTU,1177,,1,Bacteria,Gemmatimonadetes,Gemm-2,,,,
2039,OTU,1178,,1,Bacteria,Acidobacteria,RB25,,,,
2094,OTU,1182,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1699,OTU,1197,,1,Bacteria,Gemmatimonadetes,Gemm-2,,,,
1938,OTU,1211,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1550,OTU,1214,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
640,OTU,1217,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
1961,OTU,1237,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
728,OTU,1240,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
1221,OTU,1242,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
2257,OTU,1243,,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
1212,OTU,1263,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1705,OTU,1266,,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
1259,OTU,1274,,1,Bacteria,Acidobacteria,,,,,
2233,OTU,1286,,1,Bacteria,Acidobacteria,Sva0725,Sva0725,,,
2234,OTU,1289,,1,Bacteria,Acidobacteria,RB25,,,,
1134,OTU,1297,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
2058,OTU,1322,,1,Bacteria,Acidobacteria,iii1-8,32-20,,,
2005,OTU,1337,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1516,OTU,1339,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
700,OTU,1344,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1365,OTU,1355,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,,,
1859,OTU,1359,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
2166,OTU,1373,,1,Bacteria,Gemmatimonadetes,Gemm-2,,,,
1950,OTU,1377,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
1972,OTU,1431,,1,Bacteria,Gemmatimonadetes,Gemm-2,,,,
1855,OTU,1440,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
131,OTU,1447,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
1891,OTU,1470,,1,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,,,
2225,OTU,1490,,1,Bacteria,NKB19,,,,,
1684,OTU,1566,,1,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,MND4,,
10,OTU,1568,,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,
1962,OTU,1603,,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
1760,OTU,1637,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1202,OTU,1685,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
2235,OTU,1715,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
2055,OTU,1725,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
1099,OTU,1769,,1,Bacteria,WS3,PRR-12,Sediment-1,PRR-10,,
2115,OTU,1771,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1003,OTU,1788,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
2241,OTU,1791,,1,Bacteria,Gemmatimonadetes,Gemm-5,,,,
1358,OTU,1803,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
1107,OTU,1807,,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
1494,OTU,1815,,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,,
1639,OTU,1829,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
510,OTU,1847,,1,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,,
1672,OTU,1849,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
2114,OTU,1881,,1,Bacteria,Gemmatimonadetes,Gemm-3,,,,
2270,OTU,1890,,1,Bacteria,GN04,5bav,,,,
1998,OTU,1900,,1,Bacteria,Acidobacteria,RB25,,,,
1956,OTU,1914,,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
2112,OTU,1924,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
1569,OTU,1933,,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
974,OTU,1942,,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
1008,OTU,2003,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
2078,OTU,2033,,1,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
959,OTU,2041,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
407,OTU,2058,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
294,OTU,2101,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
1613,OTU,2105,,1,Bacteria,Acidobacteria,RB25,,,,
440,OTU,2121,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
1397,OTU,2132,,1,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
1600,OTU,2171,,1,Bacteria,Proteobacteria,Deltaproteobacteria,[Entotheonellales],[Entotheonellaceae],,
1427,OTU,2175,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,,
