,OTU,#,counts total,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species
630,OTU,13016,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,
525,OTU,13017,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
623,OTU,13020,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
168,OTU,13026,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
761,OTU,13028,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
283,OTU,13029,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1094,OTU,13030,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,
617,OTU,13031,,1,Bacteria,Acidobacteria,Sva0725,Sva0725,,,
1449,OTU,13033,,1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
1168,OTU,13035,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,
1095,OTU,13037,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
1616,OTU,13038,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],OPB35,,
712,OTU,13041,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
627,OTU,13044,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
34,OTU,13047,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
1657,OTU,13048,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],OPB35,,
1128,OTU,13053,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
75,OTU,13054,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
747,OTU,13061,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
1002,OTU,13066,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],R4-41B,,
938,OTU,13068,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
1418,OTU,13070,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
1155,OTU,13072,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,
767,OTU,13074,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
1037,OTU,13078,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
545,OTU,13085,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,
1706,OTU,13089,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,cellulosum
793,OTU,13092,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,,,
777,OTU,13099,,1,Bacteria,Acidobacteria,[Chloracidobacteria],DS-100,,,
556,OTU,13101,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
1329,OTU,13102,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
1464,OTU,13106,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
